title,url,asin,price,rating,review_count
"Apple 2023 MacBook Pro (14-inch, Apple M3 Pro chip with 11‑core CPU and 14‑core GPU, 18GB Unified Memory, 512GB) - Silver",https://www.amazon.com.au/Apple-MacBook-14-inch-11%E2%80%91core-14%E2%80%91core/dp/B0CM5JP83X/ref=sr_1_1?dib=eyJ2IjoiMSJ9.oBdAc7O3znd_-gFuihYepjLhEqX0L8rHRIrahXS8-g5uocx8oT_OYBMhW-TMe_MiSNw7wcwKdlwhzcTjGU4EfKx4rjl_MEKOBmI7LPN0rQqXhV-imCoKon0as71nROYVuJPFY5OSVbFWwmWm0lm-P6pqlZs9UfQFjNSOa5Zb65PTLeGba_-XFFUTYRozzAAiimnR7fXRdwgeFeqt8S100mjHBs9mS1GiGeFJIO9jiunKmIWDyp3jKQN59HjQb-pK5WJj97-91Oy0ifILPe-zUUdEBWwaG9dFLNVxdI_CzVk.dbp9lNBAr9G1TDhsRK85oQOAYau7QgdIHD7yUuxTCtI&dib_tag=se&keywords=Macbook+pro+m3&qid=1746501686&sr=8-1,B0CM5JP83X,"$2,935.79",5.0 out of 5 stars,5
"Apple 2023 MacBook Pro (14-inch, Apple M3 Max chip with 14‑core CPU and 30‑core GPU, 36GB Unified Memory, 1TB) - Silver",https://www.amazon.com.au/Apple-MacBook-14-inch-14%E2%80%91core-30%E2%80%91core/dp/B0CM5K8C2L/ref=sr_1_2?dib=eyJ2IjoiMSJ9.oBdAc7O3znd_-gFuihYepjLhEqX0L8rHRIrahXS8-g5uocx8oT_OYBMhW-TMe_MiSNw7wcwKdlwhzcTjGU4EfKx4rjl_MEKOBmI7LPN0rQqXhV-imCoKon0as71nROYVuJPFY5OSVbFWwmWm0lm-P6pqlZs9UfQFjNSOa5Zb65PTLeGba_-XFFUTYRozzAAiimnR7fXRdwgeFeqt8S100mjHBs9mS1GiGeFJIO9jiunKmIWDyp3jKQN59HjQb-pK5WJj97-91Oy0ifILPe-zUUdEBWwaG9dFLNVxdI_CzVk.dbp9lNBAr9G1TDhsRK85oQOAYau7QgdIHD7yUuxTCtI&dib_tag=se&keywords=Macbook+pro+m3&qid=1746501686&sr=8-2,B0CM5K8C2L,"$5,599.00",5.0 out of 5 stars,5
"Apple 2023 MacBook Pro (16-inch, Apple M3 Pro chip with 12‑core CPU and 18‑core GPU, 18GB Unified Memory, 512GB) - Space Black",https://www.amazon.com.au/Apple-MacBook-16-inch-12%E2%80%91core-18%E2%80%91core/dp/B0CM5BJD7Z/ref=sr_1_3?dib=eyJ2IjoiMSJ9.oBdAc7O3znd_-gFuihYepjLhEqX0L8rHRIrahXS8-g5uocx8oT_OYBMhW-TMe_MiSNw7wcwKdlwhzcTjGU4EfKx4rjl_MEKOBmI7LPN0rQqXhV-imCoKon0as71nROYVuJPFY5OSVbFWwmWm0lm-P6pqlZs9UfQFjNSOa5Zb65PTLeGba_-XFFUTYRozzAAiimnR7fXRdwgeFeqt8S100mjHBs9mS1GiGeFJIO9jiunKmIWDyp3jKQN59HjQb-pK5WJj97-91Oy0ifILPe-zUUdEBWwaG9dFLNVxdI_CzVk.dbp9lNBAr9G1TDhsRK85oQOAYau7QgdIHD7yUuxTCtI&dib_tag=se&keywords=Macbook+pro+m3&qid=1746501686&sr=8-3,B0CM5BJD7Z,"$3,792.27",4.8 out of 5 stars,7
,https://www.amazon.com.au/Apple-2024-MacBook-13-inch-Laptop/dp/B0CX25L4XB/ref=sr_1_4?dib=eyJ2IjoiMSJ9.oBdAc7O3znd_-gFuihYepjLhEqX0L8rHRIrahXS8-g5uocx8oT_OYBMhW-TMe_MiSNw7wcwKdlwhzcTjGU4EfKx4rjl_MEKOBmI7LPN0rQqXhV-imCoKon0as71nROYVuJPFY5OSVbFWwmWm0lm-P6pqlZs9UfQFjNSOa5Zb65PTLeGba_-XFFUTYRozzAAiimnR7fXRdwgeFeqt8S100mjHBs9mS1GiGeFJIO9jiunKmIWDyp3jKQN59HjQb-pK5WJj97-91Oy0ifILPe-zUUdEBWwaG9dFLNVxdI_CzVk.dbp9lNBAr9G1TDhsRK85oQOAYau7QgdIHD7yUuxTCtI&dib_tag=se&keywords=Macbook+pro+m3&qid=1746501686&sr=8-4,B0CX25L4XB,"$1,744.00",5.0 out of 5 stars,
,https://www.amazon.com.au/Apple-MacBook-16-inch-12%E2%80%91core-18%E2%80%91core/dp/B0CM5J2KSX/ref=sr_1_5?dib=eyJ2IjoiMSJ9.oBdAc7O3znd_-gFuihYepjLhEqX0L8rHRIrahXS8-g5uocx8oT_OYBMhW-TMe_MiSNw7wcwKdlwhzcTjGU4EfKx4rjl_MEKOBmI7LPN0rQqXhV-imCoKon0as71nROYVuJPFY5OSVbFWwmWm0lm-P6pqlZs9UfQFjNSOa5Zb65PTLeGba_-XFFUTYRozzAAiimnR7fXRdwgeFeqt8S100mjHBs9mS1GiGeFJIO9jiunKmIWDyp3jKQN59HjQb-pK5WJj97-91Oy0ifILPe-zUUdEBWwaG9dFLNVxdI_CzVk.dbp9lNBAr9G1TDhsRK85oQOAYau7QgdIHD7yUuxTCtI&dib_tag=se&keywords=Macbook+pro+m3&qid=1746501686&sr=8-5,B0CM5J2KSX,"$4,299.00",4.8 out of 5 stars,
,https://www.amazon.com.au/Apple-2024-MacBook-13-inch-Laptop/dp/B0CX26Z41N/ref=sr_1_6?dib=eyJ2IjoiMSJ9.oBdAc7O3znd_-gFuihYepjLhEqX0L8rHRIrahXS8-g5uocx8oT_OYBMhW-TMe_MiSNw7wcwKdlwhzcTjGU4EfKx4rjl_MEKOBmI7LPN0rQqXhV-imCoKon0as71nROYVuJPFY5OSVbFWwmWm0lm-P6pqlZs9UfQFjNSOa5Zb65PTLeGba_-XFFUTYRozzAAiimnR7fXRdwgeFeqt8S100mjHBs9mS1GiGeFJIO9jiunKmIWDyp3jKQN59HjQb-pK5WJj97-91Oy0ifILPe-zUUdEBWwaG9dFLNVxdI_CzVk.dbp9lNBAr9G1TDhsRK85oQOAYau7QgdIHD7yUuxTCtI&dib_tag=se&keywords=Macbook+pro+m3&qid=1746501686&sr=8-6,B0CX26Z41N,"$1,744.00",5.0 out of 5 stars,
,https://www.amazon.com.au/Apple-MacBook-14-inch-10%E2%80%91core-Unified/dp/B0CM5BHK1T/ref=sr_1_7?dib=eyJ2IjoiMSJ9.oBdAc7O3znd_-gFuihYepjLhEqX0L8rHRIrahXS8-g5uocx8oT_OYBMhW-TMe_MiSNw7wcwKdlwhzcTjGU4EfKx4rjl_MEKOBmI7LPN0rQqXhV-imCoKon0as71nROYVuJPFY5OSVbFWwmWm0lm-P6pqlZs9UfQFjNSOa5Zb65PTLeGba_-XFFUTYRozzAAiimnR7fXRdwgeFeqt8S100mjHBs9mS1GiGeFJIO9jiunKmIWDyp3jKQN59HjQb-pK5WJj97-91Oy0ifILPe-zUUdEBWwaG9dFLNVxdI_CzVk.dbp9lNBAr9G1TDhsRK85oQOAYau7QgdIHD7yUuxTCtI&dib_tag=se&keywords=Macbook+pro+m3&qid=1746501686&sr=8-7,B0CM5BHK1T,N/A,4.8 out of 5 stars,
,https://www.amazon.com.au/Apple-2024-MacBook-13-inch-Laptop/dp/B0CX25ZV7S/ref=sr_1_8?dib=eyJ2IjoiMSJ9.oBdAc7O3znd_-gFuihYepjLhEqX0L8rHRIrahXS8-g5uocx8oT_OYBMhW-TMe_MiSNw7wcwKdlwhzcTjGU4EfKx4rjl_MEKOBmI7LPN0rQqXhV-imCoKon0as71nROYVuJPFY5OSVbFWwmWm0lm-P6pqlZs9UfQFjNSOa5Zb65PTLeGba_-XFFUTYRozzAAiimnR7fXRdwgeFeqt8S100mjHBs9mS1GiGeFJIO9jiunKmIWDyp3jKQN59HjQb-pK5WJj97-91Oy0ifILPe-zUUdEBWwaG9dFLNVxdI_CzVk.dbp9lNBAr9G1TDhsRK85oQOAYau7QgdIHD7yUuxTCtI&dib_tag=se&keywords=Macbook+pro+m3&qid=1746501686&sr=8-8,B0CX25ZV7S,"$1,744.00",5.0 out of 5 stars,
,https://www.amazon.com.au/Apple-MacBook-16-inch-12%E2%80%91core-18%E2%80%91core/dp/B0CM5JTN4K/ref=sr_1_9?dib=eyJ2IjoiMSJ9.oBdAc7O3znd_-gFuihYepjLhEqX0L8rHRIrahXS8-g5uocx8oT_OYBMhW-TMe_MiSNw7wcwKdlwhzcTjGU4EfKx4rjl_MEKOBmI7LPN0rQqXhV-imCoKon0as71nROYVuJPFY5OSVbFWwmWm0lm-P6pqlZs9UfQFjNSOa5Zb65PTLeGba_-XFFUTYRozzAAiimnR7fXRdwgeFeqt8S100mjHBs9mS1GiGeFJIO9jiunKmIWDyp3jKQN59HjQb-pK5WJj97-91Oy0ifILPe-zUUdEBWwaG9dFLNVxdI_CzVk.dbp9lNBAr9G1TDhsRK85oQOAYau7QgdIHD7yUuxTCtI&dib_tag=se&keywords=Macbook+pro+m3&qid=1746501686&sr=8-9,B0CM5JTN4K,"$4,899.00",4.8 out of 5 stars,
,https://www.amazon.com.au/Apple-MacBook-14-inch-14%E2%80%91core-30%E2%80%91core/dp/B0CM5KY2SQ/ref=sr_1_10?dib=eyJ2IjoiMSJ9.oBdAc7O3znd_-gFuihYepjLhEqX0L8rHRIrahXS8-g5uocx8oT_OYBMhW-TMe_MiSNw7wcwKdlwhzcTjGU4EfKx4rjl_MEKOBmI7LPN0rQqXhV-imCoKon0as71nROYVuJPFY5OSVbFWwmWm0lm-P6pqlZs9UfQFjNSOa5Zb65PTLeGba_-XFFUTYRozzAAiimnR7fXRdwgeFeqt8S100mjHBs9mS1GiGeFJIO9jiunKmIWDyp3jKQN59HjQb-pK5WJj97-91Oy0ifILPe-zUUdEBWwaG9dFLNVxdI_CzVk.dbp9lNBAr9G1TDhsRK85oQOAYau7QgdIHD7yUuxTCtI&dib_tag=se&keywords=Macbook+pro+m3&qid=1746501686&sr=8-10,B0CM5KY2SQ,"$5,599.00",5.0 out of 5 stars,
