title,url,asin,price,rating,review_count
"Apple 2024 MacBook Air 13-inch Laptop with M3 chip: 13.6-inch Liquid Retina Display, 16GB Unified Memory, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID - Starlight",https://www.amazon.com.au/Apple-2024-MacBook-13-inch-Laptop/dp/B0CX25ZV7S/ref=sr_1_1?dib=eyJ2IjoiMSJ9.PY3ek6i19cDRJQLvM4F9d4r0nRGOwS5vZ1vqwZHbahYzlo09TkPmmJLYIk1UAT2N5jbEoLH9nB2P6jSG5ZiIT-6r0TBOKwtW15pcWUmB2VV20wxOSTmUc4wmz5qh3QEX0FHAiMEfVFZG65aC4zaI9_isgpqbGayQrj9U0UMF0mVvrjYhyxTHDRhg52KULRInb4z9nsVKrpXulZzFJLskTLkHUxjgAZ6mgMeN0OlOo4w4YkS3hu3VRl1O4O2YQHubxMxGIxMMKqCLXH39Vu-4ymSsN-G6nwhP7IkEV19aWR8.EW2HHBv8o9kb4zRVMSkV8czR95upnLSKkeY2BaF-9fE&dib_tag=se&keywords=macbook+air+m3&qid=1746501235&sr=8-1,B0CX25ZV7S,"$1,744.00",5.0 out of 5 stars,27
"Apple 2024 MacBook Air 13-inch Laptop with M3 chip: 13.6-inch Liquid Retina Display, 16GB Unified Memory, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID - Midnight",https://www.amazon.com.au/Apple-2024-MacBook-13-inch-Laptop/dp/B0CX26Z41N/ref=sr_1_2?dib=eyJ2IjoiMSJ9.PY3ek6i19cDRJQLvM4F9d4r0nRGOwS5vZ1vqwZHbahYzlo09TkPmmJLYIk1UAT2N5jbEoLH9nB2P6jSG5ZiIT-6r0TBOKwtW15pcWUmB2VV20wxOSTmUc4wmz5qh3QEX0FHAiMEfVFZG65aC4zaI9_isgpqbGayQrj9U0UMF0mVvrjYhyxTHDRhg52KULRInb4z9nsVKrpXulZzFJLskTLkHUxjgAZ6mgMeN0OlOo4w4YkS3hu3VRl1O4O2YQHubxMxGIxMMKqCLXH39Vu-4ymSsN-G6nwhP7IkEV19aWR8.EW2HHBv8o9kb4zRVMSkV8czR95upnLSKkeY2BaF-9fE&dib_tag=se&keywords=macbook+air+m3&qid=1746501235&sr=8-2,B0CX26Z41N,"$1,744.00",5.0 out of 5 stars,27
"Apple 2024 MacBook Air 13-inch Laptop with M3 chip: 13.6-inch Liquid Retina Display, 16GB Unified Memory, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID - Silver",https://www.amazon.com.au/Apple-2024-MacBook-13-inch-Laptop/dp/B0CX262286/ref=sr_1_3?dib=eyJ2IjoiMSJ9.PY3ek6i19cDRJQLvM4F9d4r0nRGOwS5vZ1vqwZHbahYzlo09TkPmmJLYIk1UAT2N5jbEoLH9nB2P6jSG5ZiIT-6r0TBOKwtW15pcWUmB2VV20wxOSTmUc4wmz5qh3QEX0FHAiMEfVFZG65aC4zaI9_isgpqbGayQrj9U0UMF0mVvrjYhyxTHDRhg52KULRInb4z9nsVKrpXulZzFJLskTLkHUxjgAZ6mgMeN0OlOo4w4YkS3hu3VRl1O4O2YQHubxMxGIxMMKqCLXH39Vu-4ymSsN-G6nwhP7IkEV19aWR8.EW2HHBv8o9kb4zRVMSkV8czR95upnLSKkeY2BaF-9fE&dib_tag=se&keywords=macbook+air+m3&qid=1746501235&sr=8-3,B0CX262286,"$1,744.00",5.0 out of 5 stars,27
,https://www.amazon.com.au/Apple-2024-MacBook-13-inch-Laptop/dp/B0CX25L4XB/ref=sr_1_4?dib=eyJ2IjoiMSJ9.PY3ek6i19cDRJQLvM4F9d4r0nRGOwS5vZ1vqwZHbahYzlo09TkPmmJLYIk1UAT2N5jbEoLH9nB2P6jSG5ZiIT-6r0TBOKwtW15pcWUmB2VV20wxOSTmUc4wmz5qh3QEX0FHAiMEfVFZG65aC4zaI9_isgpqbGayQrj9U0UMF0mVvrjYhyxTHDRhg52KULRInb4z9nsVKrpXulZzFJLskTLkHUxjgAZ6mgMeN0OlOo4w4YkS3hu3VRl1O4O2YQHubxMxGIxMMKqCLXH39Vu-4ymSsN-G6nwhP7IkEV19aWR8.EW2HHBv8o9kb4zRVMSkV8czR95upnLSKkeY2BaF-9fE&dib_tag=se&keywords=macbook+air+m3&qid=1746501235&sr=8-4,B0CX25L4XB,"$1,744.00",5.0 out of 5 stars,
,https://www.amazon.com.au/Apple-MacBook-15-inch-10%E2%80%91core-Unified/dp/B0DLHR4579/ref=sr_1_5?dib=eyJ2IjoiMSJ9.PY3ek6i19cDRJQLvM4F9d4r0nRGOwS5vZ1vqwZHbahYzlo09TkPmmJLYIk1UAT2N5jbEoLH9nB2P6jSG5ZiIT-6r0TBOKwtW15pcWUmB2VV20wxOSTmUc4wmz5qh3QEX0FHAiMEfVFZG65aC4zaI9_isgpqbGayQrj9U0UMF0mVvrjYhyxTHDRhg52KULRInb4z9nsVKrpXulZzFJLskTLkHUxjgAZ6mgMeN0OlOo4w4YkS3hu3VRl1O4O2YQHubxMxGIxMMKqCLXH39Vu-4ymSsN-G6nwhP7IkEV19aWR8.EW2HHBv8o9kb4zRVMSkV8czR95upnLSKkeY2BaF-9fE&dib_tag=se&keywords=macbook+air+m3&qid=1746501235&sr=8-5,B0DLHR4579,"$1,877.00",N/A,0
,https://www.amazon.com.au/Apple-MacBook-13-inch-8%E2%80%91core-Unified/dp/B0DLJCVCXV/ref=sr_1_6?dib=eyJ2IjoiMSJ9.PY3ek6i19cDRJQLvM4F9d4r0nRGOwS5vZ1vqwZHbahYzlo09TkPmmJLYIk1UAT2N5jbEoLH9nB2P6jSG5ZiIT-6r0TBOKwtW15pcWUmB2VV20wxOSTmUc4wmz5qh3QEX0FHAiMEfVFZG65aC4zaI9_isgpqbGayQrj9U0UMF0mVvrjYhyxTHDRhg52KULRInb4z9nsVKrpXulZzFJLskTLkHUxjgAZ6mgMeN0OlOo4w4YkS3hu3VRl1O4O2YQHubxMxGIxMMKqCLXH39Vu-4ymSsN-G6nwhP7IkEV19aWR8.EW2HHBv8o9kb4zRVMSkV8czR95upnLSKkeY2BaF-9fE&dib_tag=se&keywords=macbook+air+m3&qid=1746501235&sr=8-6,B0DLJCVCXV,"$1,723.79",N/A,0
,https://www.amazon.com.au/Apple-MacBook-13-inch-10%E2%80%91core-Unified/dp/B0DLHYRR68/ref=sr_1_7?dib=eyJ2IjoiMSJ9.PY3ek6i19cDRJQLvM4F9d4r0nRGOwS5vZ1vqwZHbahYzlo09TkPmmJLYIk1UAT2N5jbEoLH9nB2P6jSG5ZiIT-6r0TBOKwtW15pcWUmB2VV20wxOSTmUc4wmz5qh3QEX0FHAiMEfVFZG65aC4zaI9_isgpqbGayQrj9U0UMF0mVvrjYhyxTHDRhg52KULRInb4z9nsVKrpXulZzFJLskTLkHUxjgAZ6mgMeN0OlOo4w4YkS3hu3VRl1O4O2YQHubxMxGIxMMKqCLXH39Vu-4ymSsN-G6nwhP7IkEV19aWR8.EW2HHBv8o9kb4zRVMSkV8czR95upnLSKkeY2BaF-9fE&dib_tag=se&keywords=macbook+air+m3&qid=1746501235&sr=8-7,B0DLHYRR68,"$1,994.00",N/A,0
,https://www.amazon.com.au/Apple-2024-MacBook-13-inch-Laptop/dp/B0CX26P39R/ref=sr_1_8?dib=eyJ2IjoiMSJ9.PY3ek6i19cDRJQLvM4F9d4r0nRGOwS5vZ1vqwZHbahYzlo09TkPmmJLYIk1UAT2N5jbEoLH9nB2P6jSG5ZiIT-6r0TBOKwtW15pcWUmB2VV20wxOSTmUc4wmz5qh3QEX0FHAiMEfVFZG65aC4zaI9_isgpqbGayQrj9U0UMF0mVvrjYhyxTHDRhg52KULRInb4z9nsVKrpXulZzFJLskTLkHUxjgAZ6mgMeN0OlOo4w4YkS3hu3VRl1O4O2YQHubxMxGIxMMKqCLXH39Vu-4ymSsN-G6nwhP7IkEV19aWR8.EW2HHBv8o9kb4zRVMSkV8czR95upnLSKkeY2BaF-9fE&dib_tag=se&keywords=macbook+air+m3&qid=1746501235&sr=8-8,B0CX26P39R,N/A,5.0 out of 5 stars,
,https://www.amazon.com.au/Apple-2024-MacBook-15-inch-Laptop/dp/B0CX27MQJV/ref=sr_1_9?dib=eyJ2IjoiMSJ9.PY3ek6i19cDRJQLvM4F9d4r0nRGOwS5vZ1vqwZHbahYzlo09TkPmmJLYIk1UAT2N5jbEoLH9nB2P6jSG5ZiIT-6r0TBOKwtW15pcWUmB2VV20wxOSTmUc4wmz5qh3QEX0FHAiMEfVFZG65aC4zaI9_isgpqbGayQrj9U0UMF0mVvrjYhyxTHDRhg52KULRInb4z9nsVKrpXulZzFJLskTLkHUxjgAZ6mgMeN0OlOo4w4YkS3hu3VRl1O4O2YQHubxMxGIxMMKqCLXH39Vu-4ymSsN-G6nwhP7IkEV19aWR8.EW2HHBv8o9kb4zRVMSkV8czR95upnLSKkeY2BaF-9fE&dib_tag=se&keywords=macbook+air+m3&qid=1746501235&sr=8-9,B0CX27MQJV,N/A,4.4 out of 5 stars,
,https://www.amazon.com.au/Apple-MacBook-13-inch-8%E2%80%91core-Unified/dp/B0DLJ8VP3D/ref=sr_1_10?dib=eyJ2IjoiMSJ9.PY3ek6i19cDRJQLvM4F9d4r0nRGOwS5vZ1vqwZHbahYzlo09TkPmmJLYIk1UAT2N5jbEoLH9nB2P6jSG5ZiIT-6r0TBOKwtW15pcWUmB2VV20wxOSTmUc4wmz5qh3QEX0FHAiMEfVFZG65aC4zaI9_isgpqbGayQrj9U0UMF0mVvrjYhyxTHDRhg52KULRInb4z9nsVKrpXulZzFJLskTLkHUxjgAZ6mgMeN0OlOo4w4YkS3hu3VRl1O4O2YQHubxMxGIxMMKqCLXH39Vu-4ymSsN-G6nwhP7IkEV19aWR8.EW2HHBv8o9kb4zRVMSkV8czR95upnLSKkeY2BaF-9fE&dib_tag=se&keywords=macbook+air+m3&qid=1746501235&sr=8-10,B0DLJ8VP3D,"$1,799.00",N/A,0
,https://www.amazon.com.au/Apple-2024-MacBook-15-inch-Laptop/dp/B0CX27FXGV/ref=sr_1_11?dib=eyJ2IjoiMSJ9.PY3ek6i19cDRJQLvM4F9d4r0nRGOwS5vZ1vqwZHbahYzlo09TkPmmJLYIk1UAT2N5jbEoLH9nB2P6jSG5ZiIT-6r0TBOKwtW15pcWUmB2VV20wxOSTmUc4wmz5qh3QEX0FHAiMEfVFZG65aC4zaI9_isgpqbGayQrj9U0UMF0mVvrjYhyxTHDRhg52KULRInb4z9nsVKrpXulZzFJLskTLkHUxjgAZ6mgMeN0OlOo4w4YkS3hu3VRl1O4O2YQHubxMxGIxMMKqCLXH39Vu-4ymSsN-G6nwhP7IkEV19aWR8.EW2HHBv8o9kb4zRVMSkV8czR95upnLSKkeY2BaF-9fE&dib_tag=se&keywords=macbook+air+m3&qid=1746501235&sr=8-11,B0CX27FXGV,"$2,197.00",4.4 out of 5 stars,
,https://www.amazon.com.au/Apple-MacBook-13-inch-10%E2%80%91core-Unified/dp/B0DLHQFBJK/ref=sr_1_12?dib=eyJ2IjoiMSJ9.PY3ek6i19cDRJQLvM4F9d4r0nRGOwS5vZ1vqwZHbahYzlo09TkPmmJLYIk1UAT2N5jbEoLH9nB2P6jSG5ZiIT-6r0TBOKwtW15pcWUmB2VV20wxOSTmUc4wmz5qh3QEX0FHAiMEfVFZG65aC4zaI9_isgpqbGayQrj9U0UMF0mVvrjYhyxTHDRhg52KULRInb4z9nsVKrpXulZzFJLskTLkHUxjgAZ6mgMeN0OlOo4w4YkS3hu3VRl1O4O2YQHubxMxGIxMMKqCLXH39Vu-4ymSsN-G6nwhP7IkEV19aWR8.EW2HHBv8o9kb4zRVMSkV8czR95upnLSKkeY2BaF-9fE&dib_tag=se&keywords=macbook+air+m3&qid=1746501235&sr=8-12,B0DLHQFBJK,"$1,994.00",N/A,0
,https://www.amazon.com.au/Apple-MacBook-13-inch-8%E2%80%91core-Unified/dp/B0DLJ8TJXN/ref=sr_1_13?dib=eyJ2IjoiMSJ9.PY3ek6i19cDRJQLvM4F9d4r0nRGOwS5vZ1vqwZHbahYzlo09TkPmmJLYIk1UAT2N5jbEoLH9nB2P6jSG5ZiIT-6r0TBOKwtW15pcWUmB2VV20wxOSTmUc4wmz5qh3QEX0FHAiMEfVFZG65aC4zaI9_isgpqbGayQrj9U0UMF0mVvrjYhyxTHDRhg52KULRInb4z9nsVKrpXulZzFJLskTLkHUxjgAZ6mgMeN0OlOo4w4YkS3hu3VRl1O4O2YQHubxMxGIxMMKqCLXH39Vu-4ymSsN-G6nwhP7IkEV19aWR8.EW2HHBv8o9kb4zRVMSkV8czR95upnLSKkeY2BaF-9fE&dib_tag=se&keywords=macbook+air+m3&qid=1746501235&sr=8-13,B0DLJ8TJXN,"$1,799.00",N/A,0
,https://www.amazon.com.au/Apple-2024-MacBook-15-inch-Laptop/dp/B0CX257855/ref=sr_1_14?dib=eyJ2IjoiMSJ9.PY3ek6i19cDRJQLvM4F9d4r0nRGOwS5vZ1vqwZHbahYzlo09TkPmmJLYIk1UAT2N5jbEoLH9nB2P6jSG5ZiIT-6r0TBOKwtW15pcWUmB2VV20wxOSTmUc4wmz5qh3QEX0FHAiMEfVFZG65aC4zaI9_isgpqbGayQrj9U0UMF0mVvrjYhyxTHDRhg52KULRInb4z9nsVKrpXulZzFJLskTLkHUxjgAZ6mgMeN0OlOo4w4YkS3hu3VRl1O4O2YQHubxMxGIxMMKqCLXH39Vu-4ymSsN-G6nwhP7IkEV19aWR8.EW2HHBv8o9kb4zRVMSkV8czR95upnLSKkeY2BaF-9fE&dib_tag=se&keywords=macbook+air+m3&qid=1746501235&sr=8-14,B0CX257855,"$2,094.00",4.4 out of 5 stars,
,https://www.amazon.com.au/Apple-2024-MacBook-15-inch-Laptop/dp/B0CX263WRD/ref=sr_1_15?dib=eyJ2IjoiMSJ9.PY3ek6i19cDRJQLvM4F9d4r0nRGOwS5vZ1vqwZHbahYzlo09TkPmmJLYIk1UAT2N5jbEoLH9nB2P6jSG5ZiIT-6r0TBOKwtW15pcWUmB2VV20wxOSTmUc4wmz5qh3QEX0FHAiMEfVFZG65aC4zaI9_isgpqbGayQrj9U0UMF0mVvrjYhyxTHDRhg52KULRInb4z9nsVKrpXulZzFJLskTLkHUxjgAZ6mgMeN0OlOo4w4YkS3hu3VRl1O4O2YQHubxMxGIxMMKqCLXH39Vu-4ymSsN-G6nwhP7IkEV19aWR8.EW2HHBv8o9kb4zRVMSkV8czR95upnLSKkeY2BaF-9fE&dib_tag=se&keywords=macbook+air+m3&qid=1746501235&sr=8-15,B0CX263WRD,N/A,4.4 out of 5 stars,
,https://www.amazon.com.au/Apple-MacBook-13-inch-10%E2%80%91core-Unified/dp/B0DLHM63GP/ref=sr_1_16?dib=eyJ2IjoiMSJ9.PY3ek6i19cDRJQLvM4F9d4r0nRGOwS5vZ1vqwZHbahYzlo09TkPmmJLYIk1UAT2N5jbEoLH9nB2P6jSG5ZiIT-6r0TBOKwtW15pcWUmB2VV20wxOSTmUc4wmz5qh3QEX0FHAiMEfVFZG65aC4zaI9_isgpqbGayQrj9U0UMF0mVvrjYhyxTHDRhg52KULRInb4z9nsVKrpXulZzFJLskTLkHUxjgAZ6mgMeN0OlOo4w4YkS3hu3VRl1O4O2YQHubxMxGIxMMKqCLXH39Vu-4ymSsN-G6nwhP7IkEV19aWR8.EW2HHBv8o9kb4zRVMSkV8czR95upnLSKkeY2BaF-9fE&dib_tag=se&keywords=macbook+air+m3&qid=1746501235&sr=8-16,B0DLHM63GP,"$1,885.39",N/A,
,https://www.amazon.com.au/Apple-MacBook-15-inch-10%E2%80%91core-Unified/dp/B0DLHLXHDB/ref=sr_1_17?dib=eyJ2IjoiMSJ9.PY3ek6i19cDRJQLvM4F9d4r0nRGOwS5vZ1vqwZHbahYzlo09TkPmmJLYIk1UAT2N5jbEoLH9nB2P6jSG5ZiIT-6r0TBOKwtW15pcWUmB2VV20wxOSTmUc4wmz5qh3QEX0FHAiMEfVFZG65aC4zaI9_isgpqbGayQrj9U0UMF0mVvrjYhyxTHDRhg52KULRInb4z9nsVKrpXulZzFJLskTLkHUxjgAZ6mgMeN0OlOo4w4YkS3hu3VRl1O4O2YQHubxMxGIxMMKqCLXH39Vu-4ymSsN-G6nwhP7IkEV19aWR8.EW2HHBv8o9kb4zRVMSkV8czR95upnLSKkeY2BaF-9fE&dib_tag=se&keywords=macbook+air+m3&qid=1746501235&sr=8-17,B0DLHLXHDB,"$2,199.00",5.0 out of 5 stars,
,https://www.amazon.com.au/Apple-MacBook-15-inch-10%E2%80%91core-Unified/dp/B0DLJG2PYH/ref=sr_1_18?dib=eyJ2IjoiMSJ9.PY3ek6i19cDRJQLvM4F9d4r0nRGOwS5vZ1vqwZHbahYzlo09TkPmmJLYIk1UAT2N5jbEoLH9nB2P6jSG5ZiIT-6r0TBOKwtW15pcWUmB2VV20wxOSTmUc4wmz5qh3QEX0FHAiMEfVFZG65aC4zaI9_isgpqbGayQrj9U0UMF0mVvrjYhyxTHDRhg52KULRInb4z9nsVKrpXulZzFJLskTLkHUxjgAZ6mgMeN0OlOo4w4YkS3hu3VRl1O4O2YQHubxMxGIxMMKqCLXH39Vu-4ymSsN-G6nwhP7IkEV19aWR8.EW2HHBv8o9kb4zRVMSkV8czR95upnLSKkeY2BaF-9fE&dib_tag=se&keywords=macbook+air+m3&qid=1746501235&sr=8-18,B0DLJG2PYH,"$2,394.00",N/A,0
